H2_percent,phi,s_l0_m_per_s,nu_u_m2_per_s
0,0.8,0.2658486058309038,1.538627216311464e-05
0,1.0,0.3688794143575823,1.5414495227848176e-05
0,1.15,0.35517187425425795,1.5434981731148213e-05
100,0.8,1.5679733775145246,1.9700593137002107e-05
100,1.0,2.2188282306851606,2.0737213151400035e-05
100,1.15,2.5546410057093967,2.1496391251467275e-05
